Model,Task,Max Samples Limit,Window Size,Ours Avg Samples,Ours Saved Cost (%),Ours Accuracy (%),Standard SC Accuracy (%)
GPT3.5,gsm8k,40,2,2.1,94.75,77.09,85.66
GPT3.5,gsm8k,40,5,5.11,87.22,82.09,85.66
GPT3.5,gsm8k,40,10,10.17,74.56,84.52,85.66
GPT3.5,gsm8k,20,5,5.09,74.54,81.94,85.36
GPT4,gsm8k,40,2,2.09,94.76,88.78,89.31
GPT4,gsm8k,40,5,5.09,87.26,89.61,89.31
GPT4,gsm8k,40,10,10.08,74.81,89.61,89.31
GPT4,gsm8k,20,5,5.13,74.37,88.32,89.08
GPT-OSS-20B,gsm8k,40,2,5.44,86.4,17.5,26.5
GPT-OSS-20B,gsm8k,40,5,17.55,56.12,25.5,26.5
GPT-OSS-20B,gsm8k,40,10,25.95,35.12,27.5,26.5
GPT-OSS-20B,gsm8k,20,5,11.47,42.62,23.0,27.5
GPT3.5,strategy,40,2,2.29,94.28,71.46,74.66
GPT3.5,strategy,40,5,5.64,85.89,74.48,74.66
GPT3.5,strategy,40,10,10.84,72.91,74.44,74.66
GPT3.5,strategy,20,5,5.38,73.08,74.79,74.4
GPT4,strategy,40,2,2.19,94.52,80.92,81.53
GPT4,strategy,40,5,5.43,86.41,81.7,81.53
GPT4,strategy,40,10,10.59,73.52,81.53,81.53
GPT4,strategy,20,5,5.32,73.4,81.27,81.35
GPT-OSS-20B,strategy,40,2,6.09,84.77,69.5,72.5
GPT-OSS-20B,strategy,40,5,24.7,38.25,71.0,72.5
GPT-OSS-20B,strategy,40,10,33.15,17.13,72.5,72.5
GPT-OSS-20B,strategy,20,5,15.4,23.0,70.5,71.5
